model_seed,reset_seed,time,action_distance,rectangle,current_class_min_y,endpoint_ball_min_y,all_maps_min_y,corner_distance,upper_rectangle,vertical_contains_anchor,anchor_down,correction_down,proposal_down,emitted_down,proposal_enters_descent,emitted_enters_descent,clipping_raises_y,clipping_blocks_entry,proposal_wrong_x,current_class_can_move_down,current_class_can_enter,endpoint_ball_can_enter,full_map_can_enter,fixed_vertical_matrix_enters,fixed_vertical_matrix_moves_down
0,51000091,1,0.9852751976834844,0,3.0,2.493609737695544,2.493609737695544,0.4788849353790283,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000091,2,1.0202063706367672,0,3.0,2.562389373779297,2.562389373779297,0.5659375190734863,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000091,3,0.9066137140774642,0,3.0,2.6528093814849854,2.6528093814849854,0.3122829387361876,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True
0,51000092,1,1.1614707439114071,0,3.0,2.5598905086517334,2.5598905086517334,0.5064401189686732,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000093,1,1.0953223221888064,0,3.0,2.6673145294189453,2.6673145294189453,0.5061830072968959,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000094,1,1.6371552034147672,0,3.0,2.6459600925445557,2.6459600925445557,1.0697456203719973,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000095,1,1.4853723284000202,0,3.0,2.5721662044525146,2.5721662044525146,0.8773737464222634,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000096,1,1.2921939936597648,0,3.0,2.480466604232788,2.480466604232788,0.5975760995865528,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000097,1,1.2870216833834447,0,3.0,2.741910457611084,2.741910457611084,0.75145114264408,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000098,1,1.5882077831846073,0,3.0,2.3330676555633545,2.3330676555633545,0.7649887900069734,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000099,1,1.3424342637610447,0,3.0,2.5740694999694824,2.5740694999694824,0.7184799833312565,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000100,1,1.0730673683183518,0,3.0,2.669346809387207,2.669346809387207,0.4801602328550749,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
