parameters,emitter,condition,epsilon,zero_denominators,projection_frequency,atom_frequency,count,median,p90,p95,p99,p99_9,max,above_1,above_1.05,above_1.25,above_2,above_5,atom_switch_fraction
frobenius_s1,frobenius,diagonal_center_fixed_xprime,0.03,0,0.001953125,0.08203125,256,0.21303335976754156,0.4591848924039076,0.4846843177697294,0.5598230067950891,0.6440390618263901,0.6562070997357732,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,diagonal_center_fixed_xprime,0.01,0,0.001953125,0.078125,256,0.21301642287338593,0.4591595949010169,0.48467942421436594,0.5597978721505552,0.6440505689660275,0.6562031246864213,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,diagonal_center_fixed_xprime,0.003,0,0.00390625,0.09765625,256,0.21516694562334482,0.4590904995997107,0.4845976117699056,0.5598855786290156,0.6438338946630744,0.6560107866728574,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,diagonal_center_fixed_xprime,0.001,0,0.001953125,0.0859375,256,0.21518201867654177,0.4588148517860957,0.4843492174518904,0.559896602919018,0.6436656033550716,0.6559761884445796,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.2193308474252609,0.45918815230656895,0.4846633777486132,0.5598103208518231,0.6440321706220987,0.6561986740972346,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,off_diagonal_fixed_xprime,0.03,0,0.078125,0.08203125,256,0.21932490048376632,0.4591913254647375,0.48466123358143354,0.5598079474379972,0.6440394350084746,0.6562074729688595,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,off_diagonal_fixed_xprime,0.01,0,0.078125,0.078125,256,0.21932224945899212,0.4591740514158265,0.48468673257267436,0.5598357765282531,0.6440338981125341,0.6562095800841921,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,off_diagonal_fixed_xprime,0.003,0,0.078125,0.09765625,256,0.21933604396311035,0.4591710569525924,0.484573822584068,0.5597361357373304,0.643908834654432,0.6560101489599177,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,frobenius,off_diagonal_fixed_xprime,0.001,0,0.078125,0.0859375,256,0.21940660305047685,0.4589866978555436,0.4849535430042404,0.5599397008460644,0.6439182105461724,0.6560321187898116,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,diagonal_center_fixed_xprime,0.1,0,0.001953125,0.09375,256,0.21220249446261646,0.4591899467096813,0.48465645757978926,0.559810806066635,0.6440273498344236,0.65618940313274,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,diagonal_center_fixed_xprime,0.03,0,0.001953125,0.08203125,256,0.21303335976754156,0.4591848924039076,0.4846843177697294,0.5598230067950891,0.6440390618263901,0.6562070997357732,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,diagonal_center_fixed_xprime,0.01,0,0.001953125,0.078125,256,0.21301642287338593,0.4591595949010169,0.48467942421436594,0.5597978721505552,0.6440505689660275,0.6562031246864213,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,diagonal_center_fixed_xprime,0.003,0,0.00390625,0.09765625,256,0.21516694562334482,0.4590904995997107,0.4845976117699056,0.5598855786290156,0.6438338946630744,0.6560107866728574,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,diagonal_center_fixed_xprime,0.001,0,0.001953125,0.0859375,256,0.21518201867654177,0.4588148517860957,0.4843492174518904,0.559896602919018,0.6436656033550716,0.6559761884445796,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.2193308474252609,0.45918815230656895,0.4846633777486132,0.5598103208518231,0.6440321706220987,0.6561986740972346,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,off_diagonal_fixed_xprime,0.03,0,0.078125,0.08203125,256,0.21932490048376632,0.4591913254647375,0.48466123358143354,0.5598079474379972,0.6440394350084746,0.6562074729688595,0.0,0.0,0.0,0.0,0.0,
