episode,reset_seed,policy,reach,strict_success,discounted_return,undiscounted_return,absorbed,lower_route,entered_1_2,reached_y_below_2,shortcut,stuck_other,first_fork_landing_1_2,first_fork_landing_2_3,hazard_landings,route_class,fork_time,first_fork_landing_cell,time_to_goal,death_time
139,9300139,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,1,"(2,3)",,5
140,9300140,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",,
141,9300141,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,4
142,9300142,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
143,9300143,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,1,"(2,3)",7,
144,9300144,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,3
145,9300145,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,,
146,9300146,P_bc0.2,1.0,1.0,2.1416186991772515,17.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",34,
147,9300147,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,,
148,9300148,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
149,9300149,P_bc0.2,1.0,1.0,10.4358392792333,40.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",11,
150,9300150,P_bc0.2,1.0,1.0,11.066088688957908,41.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,lower,1,"(1,3)",10,
151,9300151,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,1,"(2,3)",,4
152,9300152,P_bc0.2,1.0,1.0,7.263633867501038,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,2,"(2,3)",17,
153,9300153,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
154,9300154,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
155,9300155,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,,
156,9300156,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,,
157,9300157,P_bc0.2,1.0,1.0,9.837102339994921,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,12,
158,9300158,P_bc0.2,1.0,1.0,11.066088688957908,41.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,1,"(2,3)",10,
